country,tot_cases,new_cases,tot_deaths,new_deaths,tot_recov,new_recov,tests,pop,2019_gdp,tot_cases_1m,tot_deaths_1m,tot_recov_1m,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations
Georgia,387481,1286,5551,13,365019,1701,6314133,3981180,4697,129160,1850,121673,9838183.0,7037311.0,2800872.0,218793.0,276436.0
Germany,3751234,0,91894,0,3639300,500,65845568,84063131,46467,44657,1093,43325,5559660123.0,3757657353.0,1880998029.0,85591334.0,83609837.0
Ghana,98435,0,810,0,95024,0,1351596,31746117,2210,3175,26,3065,13076813.0,11522714.0,1554099.0,120680.0,1350434.0
Greece,455754,0,12816,0,414538,0,11653059,10369919,19150,45575,1281,41453,604340309.0,376370986.0,239332728.0,8816333.0,9552725.0
Grenada,161,0,1,0,160,0,28684,113066,10815,0,0,0,434131.0,331716.0,102415.0,1037.0,34840.0
Guatemala,333126,0,9898,0,290113,0,1719452,18259733,4638,18507,549,16117,53085552.0,45539887.0,7545665.0,1226784.0,1154439.0
Guinea,24509,0,186,0,23516,0,484634,13501908,1058,1885,14,1808,18037907.0,13323449.0,5363910.0,359962.0,708363.0
Guinea Bissau,4044,0,72,0,3691,0,77307,2016242,749,2022,36,1845,95808.0,91854.0,3954.0,0.0,19833.0
Guyana,21471,0,509,0,19805,0,208667,790506,6609,0,0,0,5436894.0,3971824.0,1465070.0,6606.0,359222.0
Haiti,19512,0,501,0,12999,0,95209,11547106,1272,1773,45,1181,38.0,38.0,0.0,0.0,0.0
Honduras,277974,0,7391,0,95311,0,834947,10068307,2574,27797,739,9531,11603324.0,9733999.0,834473.0,229026.0,1071780.0
Hungary,808725,0,30015,0,742632,0,6238275,9634761,16733,89858,3335,82514,471742557.0,439776895.0,274021464.0,8276404.0,10037668.0
Iceland,6718,0,30,0,6628,0,803998,343549,68883,0,0,0,13371679.0,8939990.0,5415518.0,241670.0,453115.0
India,31106065,795,413640,0,30269796,7563,443958663,1394123902,2100,22314,296,21714,23741377264.0,19378098301.0,4363278963.0,385522865.0,391592255.0
Indonesia,2877476,44721,73582,1093,2261658,29264,23346777,276533091,4135,10425,266,8194,0.0,0.0,0.0,0.0,0.0
Iraq,1483014,0,17789,0,1348303,0,12467303,41158888,5658,36171,433,32885,6189254.0,3061873.0,1021023.0,9985.0,1034243.0
Ireland,283331,0,5018,0,263028,0,4729538,4995169,80778,70832,1254,65757,154255701.0,101094321.0,48671778.0,1970708.0,4934411.0
Iran (Islamic Republic of),2074,0,29,0,1580,0,83753,85502,3114,0,0,0,2903646760.0,1923778535.0,979868225.0,45635583.0,55128821.0
Israel,851142,174,6448,2,838072,128,15777821,9326000,43588,94571,716,93119,1715884390.0,937049196.0,778835194.0,10978634.0,11021107.0
Italy,4284332,0,127864,0,4112977,0,74627294,60369093,33566,71405,2131,68549,3996708893.0,2685570162.0,1376771041.0,61536005.0,59967580.0
Côte D'Ivoire,49125,0,320,0,48405,0,748773,27055530,2276,1819,11,1792,41735988.0,41735988.0,0.0,765732.0,861107.0
Jamaica,51046,0,1153,0,45282,0,468758,2974633,5369,25523,576,22641,2323105.0,1806074.0,517031.0,3784.0,298857.0
Japan,838432,3886,15040,13,797208,1820,17506835,126072503,40113,6654,119,6327,2406847666.0,1622704764.0,784142902.0,69607270.0,67632499.0
Jordan,760550,0,9887,0,742730,0,8210864,10308543,4405,76055,988,74273,125306167.0,83043942.0,42112225.0,1491301.0,4510649.0
Kazakhstan,488905,5493,4956,47,430060,2823,11575012,19010324,9812,25731,260,22634,294713031.0,192566491.0,102146540.0,5540990.0,7273357.0
Kenya,192435,0,3760,0,181682,0,2050236,55000217,1816,3498,68,3303,68360735.0,57564181.0,9861781.0,655908.0,1555612.0
Kuwait,384573,0,2211,0,365507,0,3224296,4336221,32373,96143,552,91376,0.0,0.0,0.0,0.0,0.0
Lao People’s Democratic Republic,3426,131,5,1,2174,0,305013,7385309,2544,489,0,310,10577816.0,3233148.0,1113307.0,0.0,2341617.0
Latvia,138159,33,2543,0,135103,89,3039150,1864412,17794,138159,2543,135103,82723388.0,54788326.0,30762258.0,1274929.0,1265141.0
Lebanon,550492,0,7884,0,535216,0,4731376,6793547,7583,91748,1314,89202,84034389.0,54792438.0,28459307.0,1506750.0,1668695.0
Lesotho,12398,0,339,0,6601,0,125501,2159930,1113,6199,169,3300,145718.0,125911.0,19807.0,0.0,56256.0
Liberia,5315,0,148,0,2705,0,127538,5180973,621,1063,29,541,930407.0,907216.0,23191.0,1847.0,62910.0
Libya,221495,4061,3281,28,183436,651,1206862,6968444,7685,36915,546,30572,2918954.0,2918954.0,0.0,0.0,414348.0
Liechtenstein,3061,0,59,0,2989,0,49126,38242,180366,0,0,0,2346990.0,1461214.0,906097.0,38254.0,36999.0
Lithuania,279745,75,4404,0,268315,1,3900732,2682589,19555,139872,2202,134157,184721691.0,113625444.0,71096247.0,2477642.0,2462111.0
Luxembourg,72759,0,820,0,70150,0,3184059,636560,114685,0,0,0,24370229.0,16077140.0,8293089.0,358205.0,617004.0
Madagascar,42536,16,937,1,40916,25,222031,28428930,526,1519,33,1461,1138845.0,1138845.0,0.0,13544.0,196768.0
Malawi,43043,0,1325,0,34749,0,300041,19642336,583,2265,69,1828,21321575.0,20827868.0,493707.0,248767.0,435416.0
Malaysia,916561,10710,7019,153,784949,5778,16396212,32797254,11414,28642,219,24529,467856278.0,321859890.0,145996388.0,14347225.0,13174945.0
Maldives,75816,0,216,0,73072,0,1097017,550433,10626,0,0,0,50650941.0,37103125.0,13547816.0,531861.0,561995.0
Mali,14509,0,530,0,11670,0,331764,20854961,879,725,26,583,1701371.0,1295557.0,405814.0,0.0,195371.0
Malta,32470,195,420,0,30218,5,1041418,442769,30186,0,0,0,57241721.0,35066589.0,22911099.0,709352.0,707259.0
Marshall Islands,4,0,0,0,4,0,0,59606,4073,0,0,0,0.0,0.0,0.0,0.0,0.0
Mauritania,22508,0,508,0,20631,0,338297,4776326,1679,5627,127,5157,1519104.0,1352753.0,122744.0,5123.0,178642.0
Mauritius,1858,0,18,0,1534,0,358675,1273968,11097,1858,18,1534,3405403.0,2276552.0,1128851.0,0.0,869197.0
Mexico,2654699,12631,236240,225,2080483,6338,7937949,130342258,9946,20420,1817,16003,0.0,0.0,0.0,0.0,0.0
Micronesia (Federated States of),1,0,0,0,1,0,0,116278,3585,0,0,0,0.0,0.0,0.0,0.0,0.0
Republic of Moldova,257903,0,6224,0,250861,0,1342278,4024182,4494,64475,1556,62715,3147029260.0,2208931742.0,1197010040.0,49014585.0,52627853.0
Monaco,2680,0,33,0,2563,0,54960,39532,190512,0,0,0,432538.0,232507.0,197631.0,0.0,39785.0
Mongolia,147253,1466,734,8,130612,4730,3404824,3333148,4339,49084,244,43537,205816234.0,133153413.0,79749891.0,3058169.0,3916961.0
Montenegro,100622,0,1623,0,98664,0,475811,628149,8910,0,0,0,17785922.0,10612943.0,7172979.0,269524.0,305723.0
Morocco,555488,0,9434,0,530801,0,7174898,37365638,3230,15013,254,14345,1346071723.0,763006687.0,567666540.0,14929648.0,20654288.0
Mozambique,98152,0,1099,0,76269,0,666406,32162584,503,3067,34,2383,2588652.0,2055194.0,533458.0,0.0,512382.0
Myanmar,224236,0,4769,0,158969,0,2957514,54789650,1477,4152,88,2943,15630504.0,8186286.0,3944218.0,3800.0,3549628.0
Namibia,111417,0,2467,0,86666,0,585118,2588697,5037,55708,1233,43333,7242686.0,6177007.0,1065679.0,142650.0,165116.0
Nepal,667109,1223,9550,23,632074,1667,3469685,29681109,1194,23003,329,21795,160704373.0,132116703.0,28587670.0,896127.0,3913622.0
Netherlands,1788435,0,17775,0,1658933,0,15010077,17174390,52295,105202,1045,97584,171893098.0,119300504.0,57224812.0,0.0,18079941.0
New Zealand,2814,11,26,0,2743,14,2397849,5002100,41999,562,5,548,64358757.0,41702012.0,22656745.0,1404314.0,1352464.0
Nicaragua,8767,0,193,0,4225,0,0,6706537,1926,1461,32,704,530605.0,530605.0,0.0,0.0,171480.0
Niger,5573,0,194,0,5270,0,125185,25112444,553,222,7,210,1402739.0,1268567.0,134172.0,0.0,377793.0
Nigeria,169329,0,2126,0,164672,0,2362757,211436900,2229,802,10,780,94256841.0,87897424.0,6359417.0,1110632.0,3895487.0
North Macedonia,155901,0,5487,0,150168,0,927182,2083285,6022,77950,2743,75084,22080918.0,14235961.0,7445001.0,510454.0,683138.0
