country,tot_cases,new_cases,tot_deaths,new_deaths,tot_recov,new_recov,tests,pop,2019_gdp,tot_cases_1m,tot_deaths_1m,tot_recov_1m
Ghana,98435,0,810,0,95024,0,1351596,31746117,2210,3175,26,3065
Greece,455754,0,12816,0,414538,0,11653059,10369919,19150,45575,1281,41453
Grenada,161,0,1,0,160,0,28684,113066,10815,0,0,0
Guatemala,333126,0,9898,0,290113,0,1719452,18259733,4638,18507,549,16117
Guinea,24509,0,186,0,23516,0,484634,13501908,1058,1885,14,1808
Guinea Bissau,4044,0,72,0,3691,0,77307,2016242,749,2022,36,1845
Guyana,21471,0,509,0,19805,0,208667,790506,6609,0,0,0
Haiti,19512,0,501,0,12999,0,95209,11547106,1272,1773,45,1181
Honduras,277974,0,7391,0,95311,0,834947,10068307,2574,27797,739,9531
Hungary,808725,0,30015,0,742632,0,6238275,9634761,16733,89858,3335,82514
Iceland,6718,0,30,0,6628,0,803998,343549,68883,0,0,0
India,31106065,795,413640,0,30269796,7563,443958663,1394123902,2100,22314,296,21714
Indonesia,2877476,44721,73582,1093,2261658,29264,23346777,276533091,4135,10425,266,8194
Iraq,1483014,0,17789,0,1348303,0,12467303,41158888,5658,36171,433,32885
Ireland,283331,0,5018,0,263028,0,4729538,4995169,80778,70832,1254,65757
Iran (Islamic Republic of),2074,0,29,0,1580,0,83753,85502,3114,0,0,0
Israel,851142,174,6448,2,838072,128,15777821,9326000,43588,94571,716,93119
Italy,4284332,0,127864,0,4112977,0,74627294,60369093,33566,71405,2131,68549
Côte D'Ivoire,49125,0,320,0,48405,0,748773,27055530,2276,1819,11,1792
Jamaica,51046,0,1153,0,45282,0,468758,2974633,5369,25523,576,22641
Japan,838432,3886,15040,13,797208,1820,17506835,126072503,40113,6654,119,6327
Jordan,760550,0,9887,0,742730,0,8210864,10308543,4405,76055,988,74273
Kazakhstan,488905,5493,4956,47,430060,2823,11575012,19010324,9812,25731,260,22634
Kenya,192435,0,3760,0,181682,0,2050236,55000217,1816,3498,68,3303
Kuwait,384573,0,2211,0,365507,0,3224296,4336221,32373,96143,552,91376
Lao People’s Democratic Republic,3426,131,5,1,2174,0,305013,7385309,2544,489,0,310
Latvia,138159,33,2543,0,135103,89,3039150,1864412,17794,138159,2543,135103
Lebanon,550492,0,7884,0,535216,0,4731376,6793547,7583,91748,1314,89202
Lesotho,12398,0,339,0,6601,0,125501,2159930,1113,6199,169,3300
Liberia,5315,0,148,0,2705,0,127538,5180973,621,1063,29,541
Libya,221495,4061,3281,28,183436,651,1206862,6968444,7685,36915,546,30572
Liechtenstein,3061,0,59,0,2989,0,49126,38242,180366,0,0,0
Lithuania,279745,75,4404,0,268315,1,3900732,2682589,19555,139872,2202,134157
Luxembourg,72759,0,820,0,70150,0,3184059,636560,114685,0,0,0
Madagascar,42536,16,937,1,40916,25,222031,28428930,526,1519,33,1461
Malawi,43043,0,1325,0,34749,0,300041,19642336,583,2265,69,1828
Malaysia,916561,10710,7019,153,784949,5778,16396212,32797254,11414,28642,219,24529
Maldives,75816,0,216,0,73072,0,1097017,550433,10626,0,0,0
Mali,14509,0,530,0,11670,0,331764,20854961,879,725,26,583
Malta,32470,195,420,0,30218,5,1041418,442769,30186,0,0,0
Marshall Islands,4,0,0,0,4,0,0,59606,4073,0,0,0
Mauritania,22508,0,508,0,20631,0,338297,4776326,1679,5627,127,5157
Mauritius,1858,0,18,0,1534,0,358675,1273968,11097,1858,18,1534
Mexico,2654699,12631,236240,225,2080483,6338,7937949,130342258,9946,20420,1817,16003
Micronesia (Federated States of),1,0,0,0,1,0,0,116278,3585,0,0,0
Republic of Moldova,257903,0,6224,0,250861,0,1342278,4024182,4494,64475,1556,62715
Monaco,2680,0,33,0,2563,0,54960,39532,190512,0,0,0
Mongolia,147253,1466,734,8,130612,4730,3404824,3333148,4339,49084,244,43537
Montenegro,100622,0,1623,0,98664,0,475811,628149,8910,0,0,0
Morocco,555488,0,9434,0,530801,0,7174898,37365638,3230,15013,254,14345
Mozambique,98152,0,1099,0,76269,0,666406,32162584,503,3067,34,2383
Myanmar,224236,0,4769,0,158969,0,2957514,54789650,1477,4152,88,2943
Namibia,111417,0,2467,0,86666,0,585118,2588697,5037,55708,1233,43333
Nepal,667109,1223,9550,23,632074,1667,3469685,29681109,1194,23003,329,21795
Netherlands,1788435,0,17775,0,1658933,0,15010077,17174390,52295,105202,1045,97584
New Zealand,2814,11,26,0,2743,14,2397849,5002100,41999,562,5,548
Nicaragua,8767,0,193,0,4225,0,0,6706537,1926,1461,32,704
Niger,5573,0,194,0,5270,0,125185,25112444,553,222,7,210
Nigeria,169329,0,2126,0,164672,0,2362757,211436900,2229,802,10,780
North Macedonia,155901,0,5487,0,150168,0,927182,2083285,6022,77950,2743,75084
Norway,134230,0,796,0,88952,0,6297861,5465376,75826,26846,159,17790
Oman,289042,0,3498,0,263752,0,1550000,5241260,15343,57808,699,52750
Pakistan,989275,2607,22781,21,919163,834,15393974,225345563,1284,4396,101,4085
Panama,421957,0,6697,0,401758,0,3211371,4385353,15727,105489,1674,100439
Papua New Guinea,17340,0,179,0,16975,0,136187,9123010,2829,1926,19,1886
